SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18671111,    0,    0
100101,18671112,  283,    0
100101,18671113,    0,    0
100101,18671114,    0,    0
100101,18671115,   17,    0
100101,18671116,    0,    0
100101,18671117,    0,    0
100101,18671118,    0,    0
100101,18671119,   11,    0
100101,18671120,    0,    0
100101,18671121,  101,    0
100101,18671122,    0,    0
100101,18671123,    0,    0
100101,18671124,-9999,    9
100101,18671125,  393,    0
100101,18671126,   44,    0
100101,18671127,    0,    0
100101,18671128,  119,    0
100101,18671129,    8,    0
100101,18671130,  111,    0
100101,18671201,-9999,    9
100101,18671202,    0,    0
100101,18671203,   45,    0
100101,18671204,    0,    0
100101,18671205,   66,    0
100101,18671206,   49,    0
100101,18671207,   12,    0
100101,18671208,-9999,    9
100101,18671209,   17,    0
100101,18671210,   16,    0
100101,18671211,  195,    0
100101,18671212,  215,    0
100101,18671213,    0,    0
100101,18671214,    0,    0
100101,18671215,    0,    0
100101,18671216,    0,    0
100101,18671217,  285,    0
100101,18671218,   47,    0
100101,18671219,   46,    0
100101,18671220,   46,    0
100101,18671221,  208,    0
100101,18671222,-9999,    9
100101,18671223,  135,    0
100101,18671224,  406,    0
100101,18671225,  499,    0
100101,18671226,  509,    0
100101,18671227,  218,    0
100101,18671228,   97,    0
100101,18671229,    0,    0
100101,18671230,  163,    0
100101,18671231,  642,    0
100101,18680101,    0,    0
100101,18680102,   83,    0
100101,18680103,   58,    0
100101,18680104,    0,    0
100101,18680105,-9999,    9
100101,18680106,  113,    0
100101,18680107,    0,    0
100101,18680108,   30,    0
100101,18680109,   19,    0
100101,18680110,  106,    0
100101,18680111,   22,    0
100101,18680112,-9999,    9
100101,18680113,   72,    0
100101,18680114,   40,    0
100101,18680115,   34,    0
100101,18680116,  302,    0
100101,18680117,    8,    0
100101,18680118,    0,    0
100101,18680119,    0,    0
100101,18680120,   48,    0
100101,18680121,  168,    0
100101,18680122,   62,    0
100101,18680123,   32,    0
100101,18680124,  147,    0
100101,18680125,  117,    0
100101,18680126,-9999,    9
100101,18680127,   11,    0
100101,18680128,  140,    0
100101,18680129,  265,    0
100101,18680130,  149,    0
100101,18680131,   25,    0
100101,18680201,    2,    0
100101,18680202,    0,    0
100101,18680203,   89,    0
100101,18680204,  275,    0
100101,18680205,   51,    0
100101,18680206,   75,    0
100101,18680207,    0,    0
100101,18680208,    0,    0
100101,18680209,    0,    0
100101,18680210,    0,    0
100101,18680211,    0,    0
100101,18680212,    0,    0
100101,18680213,  185,    0
100101,18680214,  810,    0
100101,18680215,  178,    0
100101,18680216,-9999,    9
100101,18680217,   22,    0
100101,18680218,    3,    0
100101,18680219,    0,    0
100101,18680220,    0,    0
100101,18680221,    0,    0
100101,18680222,    6,    0
100101,18680223,    0,    0
100101,18680224,    0,    0
100101,18680225,    0,    0
100101,18680226,  288,    0
100101,18680227,   74,    0
100101,18680228,    0,    0
100101,18680229,    3,    0
100101,18680301,    0,    0
100101,18680302,    0,    0
100101,18680303,    0,    0
100101,18680304,   98,    0
100101,18680305,    0,    0
100101,18680306,  133,    0
100101,18680307,   65,    0
100101,18680308,    0,    0
100101,18680309,    0,    0
100101,18680310,   52,    0
100101,18680311,  324,    0
100101,18680312,   78,    0
100101,18680313,   44,    0
100101,18680314,    0,    0
100101,18680315,    0,    0
100101,18680316,    0,    0
